	Naive CD4 T	Memory CD4 T	CD14+ Mono	B	CD8 T	FCGR3A+ Mono	NK	DC	Platelet
TRIM23	0.000116124081105097	1.32345740011205e-05	5.88843188114789e-06	4.11393967318863e-05	1.66935154039413e-05	5.50591059502376e-06	2.91583443892056e-05	1.9269679159842e-05	8.83782589482987e-05
EBNA1BP2	0.000222150416027143	0.000189695560682728	8.83264782172184e-05	0.000148101828234791	0.000175281911741384	7.70827483303326e-05	0.00036447930486507	0.000173427112438578	0.000176756517896597
CCR10	5.04887309152597e-06	0.000101465067341924	8.83264782172184e-06	1.64557586927545e-05	3.33870308078827e-05	5.50591059502376e-06	1.45791721946028e-05	1.9269679159842e-05	8.83782589482987e-05
KHDRBS1	0.000641206882623798	0.000873481884073955	0.000341529049106578	0.000370254570586977	0.000567579523734006	0.000319342814511378	0.000393637649254275	0.000366123904036998	8.83782589482987e-05
NECAB3	3.02932385491558e-05	2.20576233352009e-05	1.47210797028697e-05	0.000255064259737695	3.33870308078827e-05	3.30354635701426e-05	1.45791721946028e-05	1.9269679159842e-05	0.000176756517896597
PGM2L1	0.000328176750949188	7.05843946726428e-05	2.94421594057395e-06	4.11393967318863e-05	4.17337885098533e-05	5.50591059502376e-06	5.83166887784112e-05	5.7809037479526e-05	8.83782589482987e-05
RP11-111M22.3	6.05864770983117e-05	2.64691480022411e-05	2.94421594057395e-05	5.75951554246409e-05	4.17337885098533e-05	5.50591059502376e-06	2.91583443892056e-05	1.9269679159842e-05	8.83782589482987e-05
PGRMC1	8.58308425559415e-05	3.97037220033616e-05	5.00516709897571e-05	3.29115173855091e-05	8.34675770197067e-05	7.15768377353089e-05	0.000174950066335233	7.70787166393679e-05	0.00229783473265577
ZWINT	2.01954923661039e-05	8.82304933408035e-06	5.88843188114789e-06	1.64557586927545e-05	2.5040273105912e-05	1.65177317850713e-05	5.83166887784112e-05	1.9269679159842e-05	8.83782589482987e-05
AFAP1L2	2.01954923661039e-05	1.76460986681607e-05	5.88843188114789e-06	2.46836380391318e-05	8.34675770197067e-06	5.50591059502376e-06	2.91583443892056e-05	1.9269679159842e-05	0.000353513035793195
EGLN3	2.01954923661039e-05	2.64691480022411e-05	2.94421594057395e-06	8.22787934637726e-06	8.34675770197067e-06	5.50591059502376e-06	2.91583443892056e-05	1.9269679159842e-05	0.000441891294741494
QPRT	1.00977461830519e-05	4.41152466704018e-06	8.83264782172184e-06	8.22787934637726e-06	1.66935154039413e-05	4.40472847601901e-05	4.37375165838084e-05	1.9269679159842e-05	8.83782589482987e-05
SMC2	0.000348372243315292	6.61728700056026e-05	2.64979434651655e-05	4.11393967318863e-05	4.17337885098533e-05	1.65177317850713e-05	5.83166887784112e-05	3.8539358319684e-05	8.83782589482987e-05
PNMA1	7.57330963728896e-05	0.000127934215344165	2.64979434651655e-05	8.22787934637726e-05	2.5040273105912e-05	1.65177317850713e-05	2.91583443892056e-05	3.8539358319684e-05	0.00141405214317278
PSMA2.1	0.000646255755715324	0.000780839866066111	0.000315031105641412	0.00060063519228554	0.00061766006994583	0.000352378278081521	0.000481112682421892	0.000269775508237788	0.000176756517896597
HIST1H2BC	5.55376040067857e-05	6.61728700056026e-05	1.76652956434437e-05	7.40509141173954e-05	5.0080546211824e-05	2.75295529751188e-05	4.37375165838084e-05	3.8539358319684e-05	8.83782589482987e-05
PURA	0.000242345908393247	4.85267713374419e-05	1.76652956434437e-05	1.64557586927545e-05	6.67740616157654e-05	5.50591059502376e-06	7.2895860973014e-05	3.8539358319684e-05	8.83782589482987e-05
PXMP4	2.01954923661039e-05	4.41152466704018e-05	2.35537275245916e-05	4.11393967318863e-05	0.000383950854290651	2.2023642380095e-05	4.37375165838084e-05	5.7809037479526e-05	8.83782589482987e-05
UBE2Q1	4.03909847322078e-05	0.000273514529356491	3.23863753463134e-05	3.29115173855091e-05	3.33870308078827e-05	5.50591059502376e-05	4.37375165838084e-05	7.70787166393679e-05	8.83782589482987e-05
KIF3A	5.04887309152597e-05	0.000110288116676004	1.17768637622958e-05	5.75951554246409e-05	0.000100161092423648	2.2023642380095e-05	2.91583443892056e-05	1.9269679159842e-05	8.83782589482987e-05
LAMP3	3.02932385491558e-05	2.64691480022411e-05	5.88843188114789e-06	8.22787934637726e-06	0.000200322184847296	5.50591059502376e-06	1.45791721946028e-05	1.9269679159842e-05	8.83782589482987e-05
GPR153	5.04887309152597e-06	4.41152466704018e-06	2.94421594057395e-06	8.22787934637726e-06	3.33870308078827e-05	1.65177317850713e-05	1.45791721946028e-05	1.9269679159842e-05	8.83782589482987e-05
RP3-467K16.4	5.04887309152597e-06	8.82304933408035e-06	2.94421594057395e-06	8.22787934637726e-06	2.5040273105912e-05	5.50591059502376e-06	4.37375165838084e-05	1.9269679159842e-05	8.83782589482987e-05
MCOLN3	5.04887309152597e-06	2.20576233352009e-05	2.94421594057395e-06	8.22787934637726e-06	1.66935154039413e-05	5.50591059502376e-06	1.45791721946028e-05	1.9269679159842e-05	8.83782589482987e-05
COLGALT2	5.04887309152597e-06	4.41152466704018e-06	2.94421594057395e-06	8.22787934637726e-06	1.66935154039413e-05	5.50591059502376e-06	7.2895860973014e-05	1.9269679159842e-05	8.83782589482987e-05
RPS10P7	1.00977461830519e-05	1.32345740011205e-05	8.83264782172184e-06	8.22787934637726e-06	8.34675770197067e-06	5.50591059502376e-06	1.45791721946028e-05	1.9269679159842e-05	8.83782589482987e-05
CENPF	1.51466192745779e-05	1.32345740011205e-05	2.94421594057395e-06	1.64557586927545e-05	8.34675770197067e-06	5.50591059502376e-06	1.45791721946028e-05	1.9269679159842e-05	8.83782589482987e-05
ASAP2	5.04887309152597e-06	4.41152466704018e-06	5.88843188114789e-06	8.22787934637726e-06	8.34675770197067e-06	5.50591059502376e-06	1.45791721946028e-05	3.8539358319684e-05	0.000353513035793195
CNRIP1	1.51466192745779e-05	4.41152466704018e-06	2.94421594057395e-06	8.22787934637726e-06	1.66935154039413e-05	1.10118211900475e-05	1.45791721946028e-05	3.8539358319684e-05	8.83782589482987e-05
ACOX2	5.04887309152597e-06	4.41152466704018e-06	8.83264782172184e-06	8.22787934637726e-06	8.34675770197067e-06	1.65177317850713e-05	1.45791721946028e-05	3.8539358319684e-05	8.83782589482987e-05
TXNRD3	2.01954923661039e-05	8.82304933408035e-06	5.88843188114789e-06	8.22787934637726e-06	8.34675770197067e-06	5.50591059502376e-06	1.45791721946028e-05	1.9269679159842e-05	8.83782589482987e-05
ALDH7A1	1.00977461830519e-05	4.41152466704018e-06	5.88843188114789e-06	8.22787934637726e-06	1.66935154039413e-05	5.50591059502376e-06	1.45791721946028e-05	5.7809037479526e-05	8.83782589482987e-05
GPR63	5.04887309152597e-06	2.64691480022411e-05	2.94421594057395e-06	8.22787934637726e-06	8.34675770197067e-06	5.50591059502376e-06	1.45791721946028e-05	1.9269679159842e-05	8.83782589482987e-05
NME8	5.04887309152597e-06	4.41152466704018e-06	2.94421594057395e-06	8.22787934637726e-06	8.34675770197067e-06	5.50591059502376e-06	8.74750331676167e-05	1.9269679159842e-05	8.83782589482987e-05
CAV1	5.04887309152597e-06	1.76460986681607e-05	2.94421594057395e-06	2.46836380391318e-05	8.34675770197067e-06	5.50591059502376e-06	1.45791721946028e-05	1.9269679159842e-05	8.83782589482987e-05
CLCN5	5.04887309152597e-06	4.41152466704018e-06	8.83264782172184e-06	8.22787934637726e-06	8.34675770197067e-06	1.65177317850713e-05	2.91583443892056e-05	1.9269679159842e-05	8.83782589482987e-05
GFRA2	5.04887309152597e-06	4.41152466704018e-06	8.83264782172184e-06	8.22787934637726e-06	8.34675770197067e-06	1.10118211900475e-05	1.45791721946028e-05	5.7809037479526e-05	8.83782589482987e-05
SAMD12	1.51466192745779e-05	1.76460986681607e-05	2.94421594057395e-06	8.22787934637726e-06	8.34675770197067e-06	5.50591059502376e-06	1.45791721946028e-05	1.9269679159842e-05	8.83782589482987e-05
MEIG1	5.04887309152597e-06	1.76460986681607e-05	2.94421594057395e-06	1.64557586927545e-05	1.66935154039413e-05	5.50591059502376e-06	1.45791721946028e-05	1.9269679159842e-05	8.83782589482987e-05
RP11-390B4.5	1.00977461830519e-05	4.41152466704018e-06	2.94421594057395e-06	1.64557586927545e-05	2.5040273105912e-05	5.50591059502376e-06	2.91583443892056e-05	1.9269679159842e-05	8.83782589482987e-05
TMEM86A	5.04887309152597e-06	8.82304933408035e-06	5.88843188114789e-06	8.22787934637726e-06	8.34675770197067e-06	1.10118211900475e-05	1.45791721946028e-05	5.7809037479526e-05	8.83782589482987e-05
YPEL4	1.00977461830519e-05	8.82304933408035e-06	8.83264782172184e-06	8.22787934637726e-06	1.66935154039413e-05	5.50591059502376e-06	1.45791721946028e-05	1.9269679159842e-05	8.83782589482987e-05
C1R	2.01954923661039e-05	4.41152466704018e-06	2.94421594057395e-06	8.22787934637726e-06	1.66935154039413e-05	5.50591059502376e-06	2.91583443892056e-05	1.9269679159842e-05	8.83782589482987e-05
SUOX	1.00977461830519e-05	4.41152466704018e-06	2.94421594057395e-06	2.46836380391318e-05	8.34675770197067e-06	1.65177317850713e-05	1.45791721946028e-05	1.9269679159842e-05	8.83782589482987e-05
RP11-511B23.1	5.04887309152597e-06	8.82304933408035e-06	2.94421594057395e-06	2.46836380391318e-05	2.5040273105912e-05	5.50591059502376e-06	1.45791721946028e-05	1.9269679159842e-05	8.83782589482987e-05
DUOX1	1.00977461830519e-05	4.41152466704018e-06	2.94421594057395e-06	3.29115173855091e-05	8.34675770197067e-06	1.10118211900475e-05	1.45791721946028e-05	1.9269679159842e-05	8.83782589482987e-05
HBQ1	5.04887309152597e-06	4.41152466704018e-06	2.94421594057395e-06	8.22787934637726e-06	1.66935154039413e-05	5.50591059502376e-06	5.83166887784112e-05	1.9269679159842e-05	0.000176756517896597
RP11-1151B14.4	1.00977461830519e-05	4.41152466704018e-06	8.83264782172184e-06	8.22787934637726e-06	8.34675770197067e-06	1.65177317850713e-05	1.45791721946028e-05	1.9269679159842e-05	8.83782589482987e-05
FOXRED2	5.04887309152597e-06	8.82304933408035e-06	8.83264782172184e-06	8.22787934637726e-06	8.34675770197067e-06	1.65177317850713e-05	1.45791721946028e-05	1.9269679159842e-05	8.83782589482987e-05
TST	5.04887309152597e-06	4.41152466704018e-06	1.76652956434437e-05	8.22787934637726e-06	8.34675770197067e-06	5.50591059502376e-06	1.45791721946028e-05	1.9269679159842e-05	8.83782589482987e-05
DSCR9	2.01954923661039e-05	8.82304933408035e-06	2.94421594057395e-06	8.22787934637726e-06	8.34675770197067e-06	5.50591059502376e-06	2.91583443892056e-05	1.9269679159842e-05	8.83782589482987e-05
AP001046.6	1.00977461830519e-05	1.76460986681607e-05	5.88843188114789e-06	8.22787934637726e-06	8.34675770197067e-06	5.50591059502376e-06	1.45791721946028e-05	1.9269679159842e-05	8.83782589482987e-05
SBDS	0.000772477583003474	0.000692609372725308	0.000132489717325828	0.000732281261827577	0.000459071673608387	0.000126635943685546	0.000379058477059673	0.00019269679159842	0.000176756517896597
PRUNE	3.53421116406818e-05	3.08806726692812e-05	2.06095115840176e-05	1.64557586927545e-05	4.17337885098533e-05	1.10118211900475e-05	1.45791721946028e-05	1.9269679159842e-05	0.00318161732213875
TNFRSF13B	1.00977461830519e-05	8.82304933408035e-06	1.17768637622958e-05	0.000287975777123204	8.34675770197067e-06	1.10118211900475e-05	1.45791721946028e-05	1.9269679159842e-05	0.000176756517896597
USP38	0.000318079004766136	6.61728700056026e-05	2.64979434651655e-05	2.46836380391318e-05	5.84273039137947e-05	4.40472847601901e-05	5.83166887784112e-05	9.63483957992099e-05	0.000176756517896597
FAM110A	0.000141368446562727	8.82304933408035e-05	0.00012660128544468	6.58230347710181e-05	0.000116854607827589	0.000578120612477495	0.000116633377556822	0.000211966470758262	0.00150243040212108
FCGR2B	1.51466192745779e-05	1.32345740011205e-05	2.06095115840176e-05	0.000493672760782636	1.66935154039413e-05	1.65177317850713e-05	2.91583443892056e-05	0.00019269679159842	8.83782589482987e-05
GRB2	0.000323127877857662	0.000322041300693933	0.00043279974326437	0.000666458227056558	0.000191975427145325	0.000341366456891473	0.000247845927308247	0.000346854224877156	0.000441891294741494
GTF3A	0.00181254543985782	0.00212194336484632	0.000833213111182427	0.00185127285293488	0.00180289966362566	0.000831392499848587	0.00123922963654124	0.00117545042875036	0.000265134776844896
WLS	5.04887309152597e-06	4.41152466704018e-06	2.64979434651655e-05	1.64557586927545e-05	8.34675770197067e-06	5.50591059502376e-06	1.45791721946028e-05	1.9269679159842e-05	8.83782589482987e-05
KCNE1	5.04887309152597e-06	4.41152466704018e-06	2.94421594057395e-05	8.22787934637726e-06	8.34675770197067e-06	5.50591059502376e-06	1.45791721946028e-05	1.9269679159842e-05	8.83782589482987e-05
MT3	3.53421116406818e-05	4.41152466704018e-06	2.94421594057395e-06	8.22787934637726e-06	2.5040273105912e-05	5.50591059502376e-06	2.91583443892056e-05	1.9269679159842e-05	8.83782589482987e-05
MEOX1	2.52443654576299e-05	2.64691480022411e-05	2.94421594057395e-06	8.22787934637726e-06	8.34675770197067e-06	5.50591059502376e-06	1.45791721946028e-05	1.9269679159842e-05	8.83782589482987e-05
SMARCA4	5.04887309152597e-05	0.000119111166010085	7.06611825737747e-05	4.11393967318863e-05	0.000200322184847296	8.80945695203801e-05	5.83166887784112e-05	0.000154157433278736	8.83782589482987e-05
RNPEP	0.000136319573471201	9.26420180078437e-05	0.000241425707127064	0.000148101828234791	8.34675770197067e-05	0.000385413741651663	0.000189529238529836	0.000231236149918104	8.83782589482987e-05
SH3BGRL	0.00104511672994588	0.00123081538210421	0.00108052725019064	0.0014481067649624	0.000851369285601008	0.00158570225136684	0.00088932950387077	0.00104056267463147	0.00132567388422448
MTRF1	6.56353501898376e-05	2.20576233352009e-05	1.17768637622958e-05	0.000345570932547845	5.0080546211824e-05	1.10118211900475e-05	1.45791721946028e-05	1.9269679159842e-05	8.83782589482987e-05
APH1B	5.55376040067857e-05	6.61728700056026e-05	0.00011188020574181	8.22787934637726e-05	7.5120819317736e-05	0.000121130033090523	7.2895860973014e-05	1.9269679159842e-05	0.000176756517896597
NLRC4	5.04887309152597e-06	8.82304933408035e-06	3.53305912868873e-05	1.64557586927545e-05	8.34675770197067e-06	4.40472847601901e-05	1.45791721946028e-05	5.7809037479526e-05	8.83782589482987e-05
KIF16B	1.51466192745779e-05	1.76460986681607e-05	2.35537275245916e-05	1.64557586927545e-05	1.66935154039413e-05	1.65177317850713e-05	1.45791721946028e-05	0.000134887754118894	8.83782589482987e-05
SAMD9L	0.000111075208013571	0.000224987758019049	0.000150155012969271	0.000468989122743504	0.000200322184847296	0.000137647764875594	0.000247845927308247	0.000250505829077946	0.000176756517896597
TSPAN4	4.03909847322078e-05	2.20576233352009e-05	0.000156043444850419	3.29115173855091e-05	8.34675770197067e-06	5.50591059502376e-05	0.00010205420536222	0.000134887754118894	8.83782589482987e-05
RP6-91H8.3	1.00977461830519e-05	8.82304933408035e-06	1.47210797028697e-05	8.22787934637726e-06	1.66935154039413e-05	5.50591059502376e-06	2.91583443892056e-05	0.000211966470758262	8.83782589482987e-05
RP11-430B1.2	5.04887309152597e-06	2.64691480022411e-05	2.94421594057395e-06	5.75951554246409e-05	5.84273039137947e-05	5.50591059502376e-06	2.91583443892056e-05	1.9269679159842e-05	8.83782589482987e-05
RBM26-AS1	0.000166612812020357	2.64691480022411e-05	5.88843188114789e-06	3.29115173855091e-05	1.66935154039413e-05	1.10118211900475e-05	2.91583443892056e-05	1.9269679159842e-05	8.83782589482987e-05
TPM1	5.55376040067857e-05	5.73498206715223e-05	4.41632391086092e-05	1.64557586927545e-05	5.84273039137947e-05	5.50591059502376e-05	4.37375165838084e-05	1.9269679159842e-05	0.00194432169686257
LINC00662	3.02932385491558e-05	3.52921973363214e-05	2.06095115840176e-05	9.87345521565272e-05	9.18143347216774e-05	1.10118211900475e-05	0.000816433642897756	1.9269679159842e-05	8.83782589482987e-05
SIRT1	2.01954923661039e-05	2.20576233352009e-05	5.88843188114789e-06	0.000246836380391318	1.66935154039413e-05	1.65177317850713e-05	4.37375165838084e-05	3.8539358319684e-05	0.000176756517896597
BACE2	5.04887309152597e-06	4.41152466704018e-06	8.83264782172184e-06	0.000543040036860899	1.66935154039413e-05	1.10118211900475e-05	1.45791721946028e-05	1.9269679159842e-05	8.83782589482987e-05
RP11-443B7.3	5.04887309152597e-06	4.41152466704018e-06	8.83264782172184e-06	8.22787934637726e-06	8.34675770197067e-06	1.10118211900475e-05	1.45791721946028e-05	1.9269679159842e-05	8.83782589482987e-05
TMPRSS11E	5.04887309152597e-06	4.41152466704018e-06	2.94421594057395e-06	2.46836380391318e-05	1.66935154039413e-05	5.50591059502376e-06	1.45791721946028e-05	1.9269679159842e-05	8.83782589482987e-05
MMRN1	5.04887309152597e-06	4.41152466704018e-06	5.88843188114789e-06	8.22787934637726e-06	8.34675770197067e-06	5.50591059502376e-06	1.45791721946028e-05	1.9269679159842e-05	0.000265134776844896
RP11-416N2.4	1.00977461830519e-05	4.41152466704018e-06	2.94421594057395e-06	8.22787934637726e-06	8.34675770197067e-06	1.65177317850713e-05	1.45791721946028e-05	1.9269679159842e-05	8.83782589482987e-05
RP11-110I1.14	5.04887309152597e-06	4.41152466704018e-06	2.94421594057395e-06	3.29115173855091e-05	8.34675770197067e-06	5.50591059502376e-06	1.45791721946028e-05	1.9269679159842e-05	8.83782589482987e-05
PGF	5.04887309152597e-06	4.41152466704018e-06	8.83264782172184e-06	1.64557586927545e-05	8.34675770197067e-06	5.50591059502376e-06	1.45791721946028e-05	1.9269679159842e-05	8.83782589482987e-05
MEG3	5.04887309152597e-06	4.41152466704018e-06	2.94421594057395e-06	8.22787934637726e-06	8.34675770197067e-06	1.65177317850713e-05	1.45791721946028e-05	1.9269679159842e-05	0.000176756517896597
CDH1	1.00977461830519e-05	4.41152466704018e-06	2.94421594057395e-06	8.22787934637726e-06	8.34675770197067e-06	5.50591059502376e-06	1.45791721946028e-05	5.7809037479526e-05	8.83782589482987e-05
TGFBR3L	5.04887309152597e-06	1.76460986681607e-05	2.94421594057395e-06	8.22787934637726e-06	8.34675770197067e-06	5.50591059502376e-06	1.45791721946028e-05	1.9269679159842e-05	8.83782589482987e-05
SIGLEC12	5.04887309152597e-06	4.41152466704018e-06	1.17768637622958e-05	8.22787934637726e-06	8.34675770197067e-06	5.50591059502376e-06	1.45791721946028e-05	1.9269679159842e-05	8.83782589482987e-05
NR2C2AP	0.000100977461830519	0.000105876592008964	2.64979434651655e-05	8.22787934637726e-05	0.000108507850125619	2.75295529751188e-05	0.000204108410724439	5.7809037479526e-05	8.83782589482987e-05
NDUFS3	0.000383714354955974	0.000326452825360973	0.000368026992571743	0.000263292139084072	0.000292136519568973	0.000297319172131283	0.000320741788281261	0.00038539358319684	8.83782589482987e-05
GHITM	0.000949188141206883	0.000935243229412517	0.000556456812768476	0.00127532129868848	0.00118523959367984	0.00068823882437797	0.00110801708678981	0.000751517487233838	0.000530269553689792
